gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,qvalue
ENSG00000159128,IFNGR2,0.0249841570426099,5.09460299729907,0.309642213925618,0.757718188184286,0.999530115671825,-5.14997424902663,0.999530115671825
ENSG00000159131,GART,0.0505854138445603,6.35162152860571,0.596440346240975,0.552732470762844,0.999530115671825,-5.11532558639105,0.999530115671825
ENSG00000159140,SON,0.0111985954393141,9.37261073554928,0.220529699899645,0.826076331189344,0.999530115671825,-5.22810162852836,0.999530115671825
ENSG00000159147,DONSON,0.0394588575921064,5.06029569710448,0.331075227979914,0.741539349602573,0.999530115671825,-5.14450817351046,0.999530115671825
ENSG00000159164,SV2A,-0.180915461802062,6.82847026025473,-1.39958491761864,0.165887181729091,0.999530115671825,-4.53960589882004,0.999530115671825
ENSG00000159167,STC1,-0.248539613013565,2.75509893655331,-0.501548364612951,0.617499597478325,0.999530115671825,-4.88027818710379,0.999530115671825
ENSG00000159176,CSRP1,-0.0528429526821238,2.41220324118483,-0.100205035812407,0.920457166235443,0.999530115671825,-4.91866509000988,0.999530115671825
ENSG00000159199,ATP5G1,-0.073155275415703,4.03809462188895,-0.642444731422161,0.522603862289257,0.999530115671825,-4.94655483856261,0.999530115671825
ENSG00000159200,RCAN1,-0.000315913942862789,6.21485529237384,-0.00149817348917437,0.998808731359592,0.999700716301349,-5.19515408939149,0.999700716301349
ENSG00000159202,UBE2Z,-0.0798409115451832,6.06760386899676,-1.58032898384411,0.118369674470092,0.999530115671825,-4.34187514634597,0.999530115671825
ENSG00000159208,C1orf51,-0.246319616997124,2.23657940713678,-1.31294369333641,0.193328233720502,0.999530115671825,-4.50914156528516,0.999530115671825
ENSG00000159210,SNF8,-0.0545615928409378,5.13872556177549,-0.969119192540866,0.335696518195747,0.999530115671825,-4.86020828614861,0.999530115671825
ENSG00000159214,CCDC24,-0.0502853839204143,3.06285848766151,-0.342614311340326,0.732876530492596,0.999530115671825,-4.9394050247467,0.999530115671825
ENSG00000159216,RUNX1,-0.0785253322425553,2.08648466114932,-0.137131350955974,0.891305762787313,0.999530115671825,-4.89016509265081,0.999530115671825
ENSG00000159217,IGF2BP1,0.0119364765299377,7.2605896951499,0.053952988114332,0.957120499514434,0.999530115671825,-5.23789347941231,0.999530115671825
ENSG00000159228,CBR1,-0.0403135288886567,3.64280814410005,-0.259710741845701,0.795820435195504,0.999530115671825,-5.00823695678782,0.999530115671825
ENSG00000159239,C2orf81,-0.0218200824969506,2.87783907843759,-0.113833717626973,0.909683159380059,0.999530115671825,-4.95457446335753,0.999530115671825
ENSG00000159251,ACTC1,-0.580485769900901,-0.654981083938594,-0.86633659995079,0.389153719770287,0.999530115671825,-4.64610326855474,0.999530115671825
ENSG00000159256,MORC3,-0.0290952372895124,6.46302974010766,-0.282001080778569,0.778743314693322,0.999530115671825,-5.21991067955757,0.999530115671825
ENSG00000159259,CHAF1B,0.0775823029853653,3.87053284381139,0.368912652370332,0.713264265808004,0.999530115671825,-5.02516890184306,0.999530115671825
