cell_type,perturbagen,probe,probe_type,gene_symbol,entrez_id,median_rzs,direction
SZ_iPSC_NPC,anisomycin,202956_at,INF,ARFGEF1,10565,2.0102571058995902,UP
SZ_iPSC_NPC,celastrol,202956_at,INF,ARFGEF1,10565,-2.9512969529972701,DOWN
SZ_iPSC_NPC,emetine,202956_at,INF,ARFGEF1,10565,4.4994708022094496,UP
SZ_iPSC_NPC,suloctidil,202956_at,INF,ARFGEF1,10565,-11.408918406216801,DOWN
SZ_iPSC_NPC,BMS-250904,215931_s_at,INF,ARFGEF2,10564,2.2615899993431001,UP
SZ_iPSC_NPC,anisomycin,215931_s_at,INF,ARFGEF2,10564,3.5373622023347902,UP
SZ_iPSC_NPC,celastrol,215931_s_at,INF,ARFGEF2,10564,4.7493574432432801,UP
SZ_iPSC_NPC,emetine,215931_s_at,INF,ARFGEF2,10564,5.2839642360340999,UP
SZ_iPSC_NPC,lycorine,215931_s_at,INF,ARFGEF2,10564,2.49567679565796,UP
SZ_iPSC_NPC,niclosamide,215931_s_at,INF,ARFGEF2,10564,2.16294630870205,UP
SZ_iPSC_NPC,suloctidil,215931_s_at,INF,ARFGEF2,10564,-3.6476497227450801,DOWN
SZ_iPSC_NPC,Vorinostat,218230_at,INF,ARFIP1,27236,5.4419031411475602,UP
SZ_iPSC_NPC,celastrol,218230_at,INF,ARFIP1,27236,-2.81701958266303,DOWN
SZ_iPSC_NPC,suloctidil,218230_at,INF,ARFIP1,27236,-7.5088264974257797,DOWN
SZ_iPSC_NPC,emetine,202109_at,LM,ARFIP2,23647,4.17625352970866,UP
SZ_iPSC_NPC,suloctidil,202109_at,LM,ARFIP2,23647,-3.41201429584628,DOWN
SZ_iPSC_NPC,suloctidil,203174_s_at,INF,ARFRP1,10139,2.1143224342412199,UP
SZ_iPSC_NPC,Vorinostat,206177_s_at,INF,ARG1,383,-2.11040739611974,DOWN
SZ_iPSC_NPC,hydroquinine,206177_s_at,INF,ARG1,383,-2.11804551182431,DOWN
SZ_iPSC_NPC,suloctidil,206177_s_at,INF,ARG1,383,-2.1253762662320499,DOWN
SZ_iPSC_NPC,Nimodipine,203946_s_at,INF,ARG2,384,2.1245097990605699,UP
SZ_iPSC_NPC,celastrol,203946_s_at,INF,ARG2,384,2.6699762283312101,UP
SZ_iPSC_NPC,suloctidil,203946_s_at,INF,ARG2,384,2.2623608064970999,UP
SZ_iPSC_NPC,emetine,218067_s_at,INF,ARGLU1,55082,3.5984799561437502,UP
SZ_iPSC_NPC,suloctidil,218067_s_at,INF,ARGLU1,55082,-3.2722925879250999,DOWN
SZ_iPSC_NPC,anisomycin,202117_at,LM,ARHGAP1,392,2.43624276695633,UP
SZ_iPSC_NPC,celastrol,202117_at,LM,ARHGAP1,392,-4.4230149423595098,DOWN
SZ_iPSC_NPC,emetine,202117_at,LM,ARHGAP1,392,2.4679741556119401,UP
SZ_iPSC_NPC,fendiline,202117_at,LM,ARHGAP1,392,-3.0194748341200901,DOWN
SZ_iPSC_NPC,suloctidil,202117_at,LM,ARHGAP1,392,4.4351223494732199,UP
SZ_iPSC_NPC,anisomycin,219431_at,INF,ARHGAP10,79658,2.1203848278279902,UP
SZ_iPSC_NPC,suloctidil,219431_at,INF,ARHGAP10,79658,-4.5262615145784402,DOWN
SZ_iPSC_NPC,Vorinostat,204492_at,INF,ARHGAP11A,9824,-4.17089170610521,DOWN
SZ_iPSC_NPC,emetine,204492_at,INF,ARHGAP11A,9824,-4.0260396472678002,DOWN
SZ_iPSC_NPC,suloctidil,204492_at,INF,ARHGAP11A,9824,-5.4682737616877697,DOWN
SZ_iPSC_NPC,BAY K8644,207606_s_at,INF,ARHGAP12,94134,2.4803247457356301,UP
SZ_iPSC_NPC,Nimodipine,207606_s_at,INF,ARHGAP12,94134,2.5261168638648099,UP
SZ_iPSC_NPC,TCB-2,207606_s_at,INF,ARHGAP12,94134,2.2985306437403299,UP
SZ_iPSC_NPC,celastrol,207606_s_at,INF,ARHGAP12,94134,2.9290025265491102,UP
SZ_iPSC_NPC,emetine,207606_s_at,INF,ARHGAP12,94134,4.9573205296995297,UP
SZ_iPSC_NPC,niclosamide,207606_s_at,INF,ARHGAP12,94134,2.0077870588357198,UP
SZ_iPSC_NPC,suloctidil,207606_s_at,INF,ARHGAP12,94134,-9.9263612537621793,DOWN
SZ_iPSC_NPC,trimethadione,207606_s_at,INF,ARHGAP12,94134,3.2438358046678402,UP
SZ_iPSC_NPC,BMS-250904,218870_at,INF,ARHGAP15,55843,-2.1932661222602099,DOWN
SZ_iPSC_NPC,emetine,218870_at,INF,ARHGAP15,55843,3.0835320467262699,UP
SZ_iPSC_NPC,suloctidil,218870_at,INF,ARHGAP15,55843,-5.3293288909868801,DOWN
SZ_iPSC_NPC,BMS-250904,218076_s_at,INF,ARHGAP17,55114,-3.3713627364877499,DOWN
SZ_iPSC_NPC,suloctidil,212738_at,INF,ARHGAP19,84986,-3.83289951879688,DOWN
SZ_iPSC_NPC,anisomycin,206298_at,INF,ARHGAP22,58504,-2.0393513373471599,DOWN
SZ_iPSC_NPC,celastrol,206298_at,INF,ARHGAP22,58504,-2.7998103095991098,DOWN
SZ_iPSC_NPC,anisomycin,221030_s_at,INF,ARHGAP24,83478,2.3235155299475299,UP
SZ_iPSC_NPC,emetine,221030_s_at,INF,ARHGAP24,83478,4.1537642330343401,UP
SZ_iPSC_NPC,lycorine,221030_s_at,INF,ARHGAP24,83478,3.41093290380925,UP
SZ_iPSC_NPC,suloctidil,221030_s_at,INF,ARHGAP24,83478,-2.0072557523453201,DOWN
SZ_iPSC_NPC,ESTRIOL,38149_at,INF,ARHGAP25,9938,2.5272720446959198,UP
SZ_iPSC_NPC,trimethadione,215955_x_at,INF,ARHGAP26,23092,2.27806217764289,UP
SZ_iPSC_NPC,niclosamide,220382_s_at,INF,ARHGAP28,79822,2.0844819240958699,UP
SZ_iPSC_NPC,Vorinostat,203910_at,INF,ARHGAP29,9411,7.6623198312963696,UP
SZ_iPSC_NPC,anisomycin,203910_at,INF,ARHGAP29,9411,2.24883450341021,UP
SZ_iPSC_NPC,emetine,203910_at,INF,ARHGAP29,9411,3.9626332119249699,UP
SZ_iPSC_NPC,lycorine,203910_at,INF,ARHGAP29,9411,2.4513296865058201,UP
SZ_iPSC_NPC,BMS-250904,203431_s_at,INF,ARHGAP32,9743,-2.2792394640033402,DOWN
SZ_iPSC_NPC,emetine,203431_s_at,INF,ARHGAP32,9743,4.4041960184467399,UP
SZ_iPSC_NPC,suloctidil,203431_s_at,INF,ARHGAP32,9743,-4.0925411602332504,DOWN
SZ_iPSC_NPC,suloctidil,202044_at,INF,ARHGAP35,2909,3.1018092008993001,UP
SZ_iPSC_NPC,emetine,204425_at,INF,ARHGAP4,393,2.7058069382061798,UP
SZ_iPSC_NPC,suloctidil,215232_at,INF,ARHGAP44,9912,3.0763319154169801,UP
