gene_id,gene_symbol,npc_log_fc,npc_average_expression,npc_t_statistic,npc_p_value,npc_adj_p_value,npc_q_value,disease_direction,signature_weight,sz_npc_drug_perturbation_count,sz_npc_drug_up_count,sz_npc_drug_down_count,ambiguous_drug_count,reversal_drug_count,same_direction_drug_count,reversal_fraction,max_abs_reversal_rzs,best_reversal_compound,split_name
ENSG00000000003,TSPAN6,0.0612767920642,6.45947804768,0.680691731747,0.498227241554,0.999530115672,0.999530115672,UP,0.0185406740202,6,2,4,0,4,2,0.666666666667,3.82603504926,emetine,test
ENSG00000000419,DPM1,0.0277637290952,5.02128420478,0.322010666079,0.748368044343,0.999530115672,0.999530115672,UP,0.00349503052235,6,4,2,0,2,4,0.333333333333,2.89130674695,suloctidil,train
ENSG00000000457,SCYL3,0.0247065365381,4.16587938544,0.268143827606,0.789347421199,0.999530115672,0.999530115672,UP,0.00253814710709,7,4,3,0,3,4,0.428571428571,6.58686684091,suloctidil,train
ENSG00000000460,C1orf112,0.0575724351207,4.38530059192,0.498482318635,0.619647844867,0.999530115672,0.999530115672,UP,0.0119667217514,6,3,3,0,3,3,0.5,17.0480371106,suloctidil,test
ENSG00000000971,CFH,-0.414614837329,-1.06045213268,-0.443561368939,0.658676074018,0.999530115672,0.999530115672,DOWN,0.0751813255513,0,0,0,0,0,0,0,0,,train
ENSG00000001036,FUCA2,-0.413648587302,4.7200606536,-2.53837282743,0.0132769183906,0.999530115672,0.999530115672,DOWN,0.776378156242,0,0,0,0,0,0,0,0,,train
ENSG00000001084,GCLC,0.0705840146691,4.67962494194,0.596180150112,0.552905318402,0.999530115672,0.999530115672,UP,0.018164742006,2,2,0,0,0,2,0,0,,train
ENSG00000001167,NFYA,0.0998022871965,5.94961389019,0.940599727602,0.350022642435,0.999530115672,0.999530115672,UP,0.0455002480584,2,1,1,0,1,1,0.5,2.29161499197,suloctidil,train
ENSG00000001460,STPG1,-0.396223281017,3.20778714126,-2.01449230954,0.0476549012405,0.999530115672,0.999530115672,DOWN,0.523764554239,0,0,0,0,0,0,0,0,,train
ENSG00000001461,NIPAL3,-0.0949257306769,4.43995026319,-0.63505777374,0.527382996015,0.999530115672,0.999530115672,DOWN,0.026377380803,3,3,0,0,3,0,1,6.67920358193,suloctidil,train
ENSG00000001497,LAS1L,0.00905135232494,5.34272375855,0.159394476674,0.87379976625,0.999530115672,0.999530115672,UP,0.000530301316148,3,1,2,0,2,1,0.666666666667,3.01562053559,celastrol,train
ENSG00000001561,ENPP4,0.778047062717,3.19074492441,2.48965439002,0.0150724664824,0.999530115672,0.999530115672,UP,1.41745833337,2,2,0,0,0,2,0,0,,train
ENSG00000001617,SEMA3F,0.4659765439,2.02922243645,1.3429582495,0.183460214966,0.999530115672,0.999530115672,UP,0.343172201074,6,2,4,0,4,2,0.666666666667,6.38404050201,emetine,test
ENSG00000001629,ANKIB1,-0.0222632128535,7.26971491844,-0.329599272889,0.742649846837,0.999530115672,0.999530115672,DOWN,0.00287676117884,0,0,0,0,0,0,0,0,,train
ENSG00000001630,CYP51A1,-0.00892371685292,3.23662893323,-0.0546877931863,0.956537094214,0.999530115672,0.999530115672,DOWN,0.000172211525364,0,0,0,0,0,0,0,0,,test
ENSG00000001631,KRIT1,0.0582110011989,5.92725796426,1.04473804468,0.299602926622,0.999530115672,0.999530115672,UP,0.0304707784306,6,3,3,0,3,3,0.5,7.27135962114,suloctidil,train
ENSG00000002016,RAD52,-0.0308824452354,4.74391530449,-0.214181086289,0.831004999152,0.999530115672,0.999530115672,DOWN,0.00248283629549,1,1,0,0,1,0,1,5.71504694378,emetine,train
ENSG00000002079,MYH16,-0.054988450887,1.67682464725,-0.350358099397,0.727082315393,0.999530115672,0.999530115672,DOWN,0.00761130442752,0,0,0,0,0,0,0,0,,train
ENSG00000002330,BAD,-0.0350442359393,4.01486198827,-0.369745343811,0.712646344582,0.999530115672,0.999530115672,DOWN,0.00515591609006,4,3,1,0,3,1,0.75,6.5818879987,suloctidil,train
ENSG00000002549,LAP3,0.0443615859475,5.28881904907,0.254462297568,0.799856286964,0.999530115672,0.999530115672,UP,0.00430254314989,2,1,1,0,1,1,0.5,2.32242749025,trimethadione,train
ENSG00000002586,CD99,0.135291007424,7.51951072555,0.855639280075,0.395006526181,0.999530115672,0.999530115672,UP,0.0545758145711,2,0,2,0,2,0,1,3.24664642434,emetine,train
ENSG00000002587,HS3ST1,0.386355550962,-0.084453038747,0.612410981222,0.54217530313,0.999530115672,0.999530115672,UP,0.102716590727,5,5,0,0,0,5,0,0,,train
ENSG00000002746,HECW1,0.320674993295,2.95454353231,0.844801184527,0.400991438546,0.999530115672,0.999530115672,UP,0.127264649076,3,2,1,0,1,2,0.333333333333,2.28709300472,Vorinostat,validation
